sample_id,router_task,ground_truth_type,c_model,c_latency,c_cost,c_correct,c_cascaded,a_model,a_latency,a_cost,a_correct,prompt_tokens,completion_tokens
chart2text_00806_818a32b60703bbc3,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1509.3109607696533,1.36e-05,False,True,qwen2_5_vl_3b,456.23016357421875,1.34e-05,False,31,36
ai2d_01712_0d86c8781702a8f9,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,201.54690742492676,1.16e-05,True,True,qwen3_vl_8b_thinking,5603.683233261108,0.00011180000000000001,False,47,512
aokvqa_00460_26eb22a446afd1b0,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,543.0328845977783,0.0,False,False,qwen3_vl_8b_thinking,5788.115978240967,0.0,False,0,0
aokvqa_01212_21b82938691a3b1e,knowledge_vqa,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1028.7108421325684,2.82e-05,True,True,qwen2_5_vl_3b,5658.020973205566,0.0,False,0,0
ai2d_00051_cae6bb5eb2052749,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,88.16981315612793,0.0,True,False,qwen2_5_vl_3b,159.4381332397461,1.34e-05,False,65,2
chart2text_00012_dfbf455414d64ed7,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1418.4672832489014,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,5900.989055633545,0.0,False,0,0
ai2d_00857_02699a1803365397,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,47.469139099121094,1e-05,True,True,qwen2_5_vl_3b,5593.662977218628,0.0,False,0,0
chartqa_00262_bf66e0f26c32fdb4,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,144.575834274292,5.2e-06,False,True,qwen3_vl_8b_thinking,4697.077989578247,0.0001072,False,24,512
chart2text_01901_89626368f92c9c11,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,796.4820861816406,3.96e-05,False,True,qwen3_vl_8b_thinking,4639.523983001709,0.0001062,False,19,512
chartqa_00655_3b8caebc6bc337e1,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,544.4340705871582,1.48e-05,False,True,qwen3_vl_8b_thinking,4727.421760559082,0.00010660000000000002,False,21,512
ai2d_01323_fbebf9bf59b8febb,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,53.076982498168945,0.0,False,False,qwen2_5_vl_3b,233.43706130981445,1.6e-05,False,78,2
chart2text_00422_08a05c2fd9b30453,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1360.0757122039795,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,4697.060108184814,0.00010700000000000001,False,23,512
aokvqa_01634_6d7210eaac1a02b6,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1157.7730178833008,0.0,False,False,qwen2_5_vl_3b,5679.250955581665,0.0,False,0,0
aokvqa_00795_7df784c0de77073f,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,333.46104621887207,0.0,False,False,qwen3_vl_8b_thinking,5780.942916870117,0.0,False,0,0
aokvqa_00141_ccad3e4c64ebeab8,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,946.4881420135498,0.0,False,False,qwen3_vl_8b_thinking,6030.450820922852,0.0,False,0,0
ai2d_00467_20f09af87356d71a,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,76.38788223266602,9.800000000000001e-06,False,True,qwen3_vl_8b_thinking,5783.343076705933,0.0,False,0,0
chart2text_01122_d396601da68710a8,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1350.7020473480225,1.4000000000000001e-05,False,True,qwen3_vl_8b_thinking,5731.262922286987,0.0,False,0,0
chart2text_01557_bd4ac284c29aa711,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,790.9128665924072,3.96e-05,False,True,qwen3_vl_8b_thinking,6018.344402313232,0.0,False,0,0
chart2text_00020_24780c4a3f7143fd,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,428.99203300476074,2.1000000000000002e-05,False,True,qwen3_vl_8b_thinking,4617.783784866333,0.00010600000000000002,False,18,512
chart2text_00835_5f8b60f7c18f81b8,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,486.7269992828369,2.48e-05,False,True,qwen3_vl_8b_thinking,5763.271808624268,0.0,False,0,0
aokvqa_01214_46097c697ef69f2c,knowledge_vqa,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1754.7152042388916,4.4200000000000004e-05,True,True,qwen3_vl_8b_thinking,5915.165901184082,0.0,False,0,0
aokvqa_00461_330c1639df0967f3,knowledge_vqa,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,447.8120803833008,2.8200000000000004e-05,False,True,qwen3_vl_8b_thinking,5778.228998184204,0.0,False,0,0
ai2d_01715_8cdc491c9ebb32df,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.43086814880371,0.0,True,False,qwen3_vl_8b_thinking,6035.287857055664,0.0,False,0,0
chartqa_00660_d648e3d318a418b0,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,161.37075424194336,7.000000000000001e-06,False,True,qwen2_5_vl_3b,236.52386665344238,6.6e-06,False,30,3
ai2d_00859_f82571e0f677d2da,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,521.1820602416992,1.54e-05,True,True,qwen3_vl_8b_thinking,4643.640756607056,0.0001156,False,66,512
chart2text_01902_36b3a3860c82ed57,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,772.7017402648926,1.2600000000000001e-05,False,True,qwen3_vl_8b_thinking,6096.776962280273,0.0,False,0,0
ai2d_00065_3ed208d8cafa62d8,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.16693878173828,0.0,False,False,qwen3_vl_8b_thinking,4640.735864639282,0.00011180000000000001,False,47,512
chartqa_00264_64583d0103ea6fe3,chart_reasoning,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,625.3972053527832,1.7e-05,False,True,qwen3_vl_8b_thinking,5986.2260818481445,0.0,False,0,0
aokvqa_01637_262daf08c12b680a,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,130.56111335754395,0.0,False,False,qwen3_vl_8b_thinking,4724.766969680786,0.00011240000000000001,False,50,512
ai2d_00470_1b43e41636c37dcf,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.013179779052734,0.0,True,False,qwen2_5_vl_3b,249.12381172180176,1.12e-05,False,54,2
chart2text_00426_8ff4acbcf9662373,chart_captioning,freeform,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,1486.266851425171,1.36e-05,False,True,qwen3_vl_8b_thinking,4726.505994796753,0.00010680000000000001,False,22,512
aokvqa_00798_41dd03dd53db8643,knowledge_vqa,exact,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,892.2791481018066,2.78e-05,False,True,qwen3_vl_8b_thinking,4757.3699951171875,0.00011180000000000001,False,47,512
aokvqa_00143_224034addf386845,knowledge_vqa,exact,Qwen/Qwen2.5-VL-7B-Instruct,1004.8141479492188,0.0,True,False,qwen3_vl_8b_thinking,4762.802839279175,0.0001116,False,46,512
