sample_id,source_config,router_task,prompt,ground_truth,model_used,response,cascaded,draft_accepted,latency_ms,total_cost,total_tokens,is_correct,exact_match,score_f1,score_exact_match_normalized,score_contains_gt,score_gt_in_response,score_numeric_match,score_mc_letter_match,pred_answer_letter,gt_answer_letter,timestamp,error
robut_wtq_01038_fc90a68db1a72ace,robut_wtq,table_reasoning,How many years before was the film bacchae out before the watermelon?,6.,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The film ""Bacchae"" is a 1985 Greek tragedy by Euripides, and ""Watermelon"" is a 2008 American comedy-drama film directed by John Singleton.

To determine how many years before ""Watermelon"" was released compared to ""Bacchae,"" we need to subtract the year of ""Bacchae's"" release from the year of ""Watermelon's"" release:

2008 (year of ""Watermelon"") - 1985 (year of ""Bacchae"") = 23 years

So, ""Watermelon"" was released 23 years after ""Bacchae.""",True,False,1231.0678958892822,0.0,177,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:52.370304,
infographic_vqa_00595_426273dc3cbe8f6a,infographic_vqa,document_ocr,"What percentage of children in the age group of 5-8 years old used mobile phones for contacting families in Australia?
Keep it brief.",95%.,Qwen/Qwen2.5-VL-7B-Instruct,"The percentage of children aged 5-8 years old who use mobile phones to contact their families in Australia is not readily available from general public sources. However, according to a report by the Australian Communications and Media Authority (ACMA) in 2019, 74% of children aged 8-17 years old in Australia had access to a mobile phone. It's important to note that this data does not specifically break down usage patterns by age within the 5-8 year old group.

For more precise information on the specific age group you're interested in, you might need to refer to more recent studies or reports focused on children's technology use in Australia, which may provide more detailed insights into how they use mobile phones for communication with their families.",False,False,1191.1301612854004,0.0,0,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:53.562212,
hitab_00165_8c400217d8665af2,hitab,table_reasoning,What cups or leagues did the oxford united participated in expect for the league two?,Fa cup league cup fl trophy.,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"Oxford United, as of my last update, has participated in several competitions beyond League Two, which is their current level in English football. Here are some of the notable cups and leagues they have competed in:

1. **FA Cup**: Oxford United has participated in the FA Cup multiple times, including reaching the fourth round proper in 2018-19 when they beat Manchester United.

2. **EFL Trophy (formerly known as the League Cup)**: They have also participated in this competition, which is a cup competition for lower-league clubs. For example, in the 2017-18 season, Oxford United reached the final but lost to Walsall.

3. **EFL Cup (now known as the Carabao Cup)**: Similar to the EFL Trophy, Oxford United has participated in this competition, which is another cup competition for lower-leagu",True,False,2715.9218788146973,0.0,389,False,0.0,0.06722689075630252,0.0,0.0,0.0,,,,,2025-12-01T01:47:56.278884,
mapqa_01035_d41e64da1f9dc29f,mapqa,map_reasoning,"Which states have the lowest value in the West?
Be succinct.","Colorado, Nevada.",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,Wyoming.,True,False,133.0711841583252,0.0,36,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:56.412470,
diagram_image_to_text_00159_f73d1aaac212ee9c,diagram_image_to_text,diagram_captioning,Illustrate the network of connections presented in this diagram.,"Mail Invoice to Accounts Payable is connected with Review Invoice for Compliance which is then connected with Invoice Meets Requirement?. If Invoice Meets Requirement? is No then Don't accept and if Invoice Meets Requirement? is Yes then Approval?. If Approval? is No then Place in queue and if Approval? is Yes then Invoice Placed in Payment Queue which is then connected with Payment Processed. If Action Taken, Issue Resolved? is No then Place in queue and If Action Taken, Issue Resolved? is Yes then Approval?",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The network of connections presented in this diagram is a visual representation of the relationships between different entities or concepts. In this case, the entities or concepts are represented by circles, and the lines connecting them represent the relationships between them.

The diagram shows a network of connections between various entities, such as ""People,"" ""Organizations,"" and ""Events."" Each entity is represented by a circle, and the lines connecting them represent the relationships between the entities.

For example, the ""People"" circle is connected to the ""Organizations"" circle by a line, indicating that the ""People"" entity is related to the ""Organizations"" entity. Similarly, the ""Organizations"" circle is connected to the ""Events"" circle by a line, indicating that the ""Organizat",True,True,677.9179573059082,0.0,278,False,0.0,0.14117647058823532,0.0,0.0,0.0,,,,,2025-12-01T01:47:57.091285,
st_vqa_01607_0b55dca306236db3,st_vqa,scene_text_ocr,"What number is on the truck door?
Be succinct.",30.,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,The number on the truck door is 1234567890.,True,False,204.00404930114746,0.0,50,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:57.295725,
chart2text_01038_8c3257f13a61823c,chart2text,chart_captioning,Can you elaborate on the message conveyed by this graph?,"The statistic shows the youth unemployment rate in South Africa from 1999 and 2020. According to the source, the data are ILO estimates. In 2020, the estimated youth unemployment rate in South Africa was at 55.75 percent.",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"I'm sorry, but I cannot provide an analysis of a graph without first seeing it. Please provide me with the graph in question and any relevant context or information about it, and I will do my best to help you understand its message.",True,False,490.8740520477295,0.0,79,False,0.0,0.1016949152542373,0.0,0.0,0.0,,,,,2025-12-01T01:47:57.787223,
localized_narratives_00908_3085406f6653d575,localized_narratives,dense_captioning,How would you summarize this image in a sentence or two?,"There are two members sitting in the chairs in front of a table on which a book, spectacles and a mic was placed. Two of them were men. In the background there is a cupboard lamp and a wall here. There are some books placed on the table in the background.",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The image appears to show a close-up of a textured surface, possibly fabric or a similar material, with a pattern that includes small, repeating shapes and a mix of colors such as white, black, and shades of gray. The texture suggests it could be part of a garment or decorative item.",True,False,779.3369293212891,0.0,91,False,0.0,0.05970149253731343,0.0,0.0,0.0,,,,,2025-12-01T01:47:58.567344,
robut_sqa_01102_e5e6e1ad4b8dc0ac,robut_sqa,table_reasoning,Who are all of the players?,"Garra Dembele, Daniel Mladenov, Ismail Isa, Hristo Yovov, Joazinho, Vladimir Gadzhev, Darko Tasevski, Alex, Jeanvion Yulu-Matondo, Mariyan Ognyanov, Serginho Greene, Yordan Miliev, Ivo Ivanov.",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The players in a game of football are the individuals who are actively participating in the game. This can include the players on the field, as well as the coaches, referees, and other personnel who are involved in the game. The players are typically divided into two teams, and each team has a set of players who are responsible for playing on offense and defense. The players on each team are typically divided into positions, such as quarterback, running back, wide receiver, and defensive lineman, and they are responsible for executing the plays that are called by the coach. The referees are responsible for enforcing the rules of the game and ensuring that the players are playing fairly. The coaches are responsible for developing the strategies and tactics for the game, and for making sure ",True,True,517.7669525146484,0.0,204,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:59.086127,
multihiertt_01498_6bc9d6c1739f43c7,multihiertt,table_reasoning,"What is the sum of Policy loans, Other long-term investments and Short-term investments for Fair Value of Total? (in million)","
Computations: ((11657 + 1653) + 618)
Answer: 13928.0.",deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The sum of Policy loans, Other long-term investments, and Short-term investments for the Fair Value of Total is $1,200 million.",True,True,96.23885154724121,0.0,56,False,0.0,0.0,0.0,0.0,0.0,,,,,2025-12-01T01:47:59.182919,
