sample_id,source_config,router_task,prompt,ground_truth,model_used,response,cascaded,draft_accepted,latency_ms,total_cost,total_tokens,is_correct,exact_match,timestamp,error
robut_wtq_01038_fc90a68db1a72ace,robut_wtq,table_reasoning,How many years before was the film bacchae out before the watermelon?,6.,error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695363,CascadeAgent.run() missing 1 required positional argument: 'query'
infographic_vqa_00595_426273dc3cbe8f6a,infographic_vqa,document_ocr,"What percentage of children in the age group of 5-8 years old used mobile phones for contacting families in Australia?
Keep it brief.",95%.,error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695433,CascadeAgent.run() missing 1 required positional argument: 'query'
hitab_00165_8c400217d8665af2,hitab,table_reasoning,What cups or leagues did the oxford united participated in expect for the league two?,Fa cup league cup fl trophy.,error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695464,CascadeAgent.run() missing 1 required positional argument: 'query'
mapqa_01035_d41e64da1f9dc29f,mapqa,map_reasoning,"Which states have the lowest value in the West?
Be succinct.","Colorado, Nevada.",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695487,CascadeAgent.run() missing 1 required positional argument: 'query'
diagram_image_to_text_00159_f73d1aaac212ee9c,diagram_image_to_text,diagram_captioning,Illustrate the network of connections presented in this diagram.,"Mail Invoice to Accounts Payable is connected with Review Invoice for Compliance which is then connected with Invoice Meets Requirement?. If Invoice Meets Requirement? is No then Don't accept and if Invoice Meets Requirement? is Yes then Approval?. If Approval? is No then Place in queue and if Approval? is Yes then Invoice Placed in Payment Queue which is then connected with Payment Processed. If Action Taken, Issue Resolved? is No then Place in queue and If Action Taken, Issue Resolved? is Yes then Approval?",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695508,CascadeAgent.run() missing 1 required positional argument: 'query'
st_vqa_01607_0b55dca306236db3,st_vqa,scene_text_ocr,"What number is on the truck door?
Be succinct.",30.,error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695529,CascadeAgent.run() missing 1 required positional argument: 'query'
chart2text_01038_8c3257f13a61823c,chart2text,chart_captioning,Can you elaborate on the message conveyed by this graph?,"The statistic shows the youth unemployment rate in South Africa from 1999 and 2020. According to the source, the data are ILO estimates. In 2020, the estimated youth unemployment rate in South Africa was at 55.75 percent.",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695549,CascadeAgent.run() missing 1 required positional argument: 'query'
localized_narratives_00908_3085406f6653d575,localized_narratives,dense_captioning,How would you summarize this image in a sentence or two?,"There are two members sitting in the chairs in front of a table on which a book, spectacles and a mic was placed. Two of them were men. In the background there is a cupboard lamp and a wall here. There are some books placed on the table in the background.",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695567,CascadeAgent.run() missing 1 required positional argument: 'query'
robut_sqa_01102_e5e6e1ad4b8dc0ac,robut_sqa,table_reasoning,Who are all of the players?,"Garra Dembele, Daniel Mladenov, Ismail Isa, Hristo Yovov, Joazinho, Vladimir Gadzhev, Darko Tasevski, Alex, Jeanvion Yulu-Matondo, Mariyan Ognyanov, Serginho Greene, Yordan Miliev, Ivo Ivanov.",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695586,CascadeAgent.run() missing 1 required positional argument: 'query'
multihiertt_01498_6bc9d6c1739f43c7,multihiertt,table_reasoning,"What is the sum of Policy loans, Other long-term investments and Short-term investments for Fair Value of Total? (in million)","
Computations: ((11657 + 1653) + 618)
Answer: 13928.0.",error,,False,False,0.0,0.0,0,,,2025-11-29T18:01:01.695604,CascadeAgent.run() missing 1 required positional argument: 'query'
