sample_id,source_config,router_task,prompt,ground_truth,model_used,response,cascaded,draft_accepted,latency_ms,total_cost,total_tokens,is_correct,exact_match,timestamp,error
robut_wtq_01038_fc90a68db1a72ace,robut_wtq,table_reasoning,How many years before was the film bacchae out before the watermelon?,6.,Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"This is a fun question that plays on a bit of internet culture! Here's the breakdown:

*   **The Bacchae:** This refers to the ancient Greek tragedy *The Bacchae* written by Euripides in **405 BC**.
*   **Watermelon:** The viral video of a man dramatically smashing a watermelon while yelling ""Watermelon!"" was uploaded to YouTube in **February 2023**.

To calculate the difference:

*   From 405 BC to 1 BC is 404 years.
*   From 1 BC to 1 AD is 1 year.
*   From 1 AD to 2023 AD is 2022 years.

Tota",True,False,4063.1659030914307,3.161e-05,0,False,False,2025-11-29T18:10:52.425213,
infographic_vqa_00595_426273dc3cbe8f6a,infographic_vqa,document_ocr,"What percentage of children in the age group of 5-8 years old used mobile phones for contacting families in Australia?
Keep it brief.",95%.,google/gemma-3-27b-it,"Around **48%** of Australian children aged 5-8 used mobile phones to contact family in 2023.



Source: [https://www.acma.gov.au/publications/research-reports/childrens-use-of-social-media-2023](https://www.acma.gov.au/publications/research-reports/childrens-use-of-social-media-2023)",False,False,1707.8087329864502,2.7200000000000004e-05,0,False,False,2025-11-29T18:10:54.133935,
hitab_00165_8c400217d8665af2,hitab,table_reasoning,What cups or leagues did the oxford united participated in expect for the league two?,fa cup league cup fl trophy.,Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Oxford United, an English football club based in Oxford, has participated in various levels of English football over the years. Here is a list of the main cup competitions and leagues they have competed in, excluding League Two:

1. **FA Cup** - Oxford United has reached the semi-finals of the FA Cup on three occasions:
   - 2007-08: They reached the semi-finals but lost to Arsenal.
   - 2013-14: They reached the semi-finals but lost to Manchester City.
   - 2019-20: They reached the semi-finals",True,True,2188.037872314453,3.830000000000001e-06,0,False,False,2025-11-29T18:10:56.322809,
mapqa_01035_d41e64da1f9dc29f,mapqa,map_reasoning,"Which states have the lowest value in the West?
Be succinct.","colorado, nevada.",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Based on cost of living & home values (as of late 2023/early 2024):

*   **Idaho**
*   **Montana**
*   **Wyoming**
*   **New Mexico**
*   **Colorado** (certain areas)
*   **Arizona** (certain areas)



It's important to note ""value"" is subjective and depends on what you're looking for (housing, land, lifestyle).",True,False,1822.3721981048584,1.225e-05,0,False,False,2025-11-29T18:10:58.146210,
diagram_image_to_text_00159_f73d1aaac212ee9c,diagram_image_to_text,diagram_captioning,Illustrate the network of connections presented in this diagram.,"mail invoice to accounts payable is connected with review invoice for compliance which is then connected with invoice meets requirement?. if invoice meets requirement? is no then don't accept and if invoice meets requirement? is yes then approval?. if approval? is no then place in queue and if approval? is yes then invoice placed in payment queue which is then connected with payment processed. if action taken, issue resolved? is no then place in queue and if action taken, issue resolved? is yes then approval?",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Please provide me with the diagram! I need to see the diagram to illustrate the network of connections. 

Once you provide the diagram (you can describe it in detail if you can't visually share it), I will do my best to:

* **Describe the nodes:**  What are the entities represented in the diagram (people, objects, concepts, etc.)?
* **Describe the connections:** What kind of relationships exist between the nodes (e.g., ""reports to"", ""is a part of"", ""influences"", ""communicates with"")?
* **Illustr",True,False,4922.011137008667,4.752e-05,0,False,False,2025-11-29T18:11:03.069378,
st_vqa_01607_0b55dca306236db3,st_vqa,scene_text_ocr,"What number is on the truck door?
Be succinct.",30.,Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"72.
",True,False,198.01974296569824,2.1000000000000003e-07,0,False,False,2025-11-29T18:11:03.268779,
chart2text_01038_8c3257f13a61823c,chart2text,chart_captioning,Can you elaborate on the message conveyed by this graph?,"the statistic shows the youth unemployment rate in south africa from 1999 and 2020. according to the source, the data are ilo estimates. in 2020, the estimated youth unemployment rate in south africa was at 55.75 percent.",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Please provide me with the graph! I need to *see* the graph to be able to elaborate on the message it conveys. 

Once you provide the graph (you can describe it in detail, link to an image, or even try to recreate it with text), I can help you by:

* **Identifying the type of graph:** (e.g., line graph, bar graph, pie chart, scatter plot)
* **Describing the variables:** What is being measured on the x and y axes (or within the sections of a pie chart)?
* **Explaining the trends:** Are things inc",True,False,3820.1842308044434,3.897e-05,0,False,False,2025-11-29T18:11:07.091131,
localized_narratives_00908_3085406f6653d575,localized_narratives,dense_captioning,How would you summarize this image in a sentence or two?,"there are two members sitting in the chairs in front of a table on which a book, spectacles and a mic was placed. two of them were men. in the background there is a cupboard lamp and a wall here. there are some books placed on the table in the background.",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Please provide me with the image! I need to see the image to be able to summarize it for you. 

Once you provide the image, I will give you a concise sentence or two describing its content.
",True,False,1035.6669425964355,1.0050000000000002e-05,0,False,False,2025-11-29T18:11:08.127696,
robut_sqa_01102_e5e6e1ad4b8dc0ac,robut_sqa,table_reasoning,Who are all of the players?,"garra dembele, daniel mladenov, ismail isa, hristo yovov, joazinho, vladimir gadzhev, darko tasevski, alex, jeanvion yulu-matondo, mariyan ognyanov, serginho greene, yordan miliev, ivo ivanov.",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"Okay, let's break down the players involved in the Baltimore non-fatal shooting case. This is a complex situation with many people connected, so I'll try to be thorough and categorize them.  I'll focus on those directly named in reports and legal documents as of today, November 2, 2023.  Keep in mind this is a developing story, and information can change.

**I. The Core Individuals Directly Involved in the Shooting:**

*   **Justin Timberlake:** The alleged shooter. He's been charged with attemp",True,False,8894.106149673462,8.652e-05,0,False,False,2025-11-29T18:11:17.022393,
multihiertt_01498_6bc9d6c1739f43c7,multihiertt,table_reasoning,"What is the sum of Policy loans, Other long-term investments and Short-term investments for Fair Value of Total? (in million)","computations: ((11657 + 1653) + 618)
answer: 13928.0.",Qwen/Qwen2.5-VL-3B-Instruct+google/gemma-3-27b-it,"To calculate the sum of Policy loans, Other long-term investments, and Short-term investments for the Fair Value of Total, you would need to add up their individual values.

Here's how you can do it:

1. Identify the Fair Value of Policy loans.
2. Identify the Fair Value of Other long-term investments.
3. Identify the Fair Value of Short-term investments.
4. Add these three values together.

For example, if the Fair Values were as follows:
- Policy loans: $50 million
- Other long-term investment",True,True,934.0178966522217,1.6300000000000003e-06,0,False,False,2025-11-29T18:11:17.957414,
